coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_location
Colombia Finca Campo Hermosa;94.0;Cleveland, Tennessee;Quindio Department, Colombia;Light;$29.99/8 ounces;62.0;82.0;13,22;29.99;Colombia;cleveland, tennessee
Colombia Finca La Sirena Mango Co-Ferment;94.0;Cleveland, Tennessee;Quindio Department, Colombia;Light;$22.99/8 ounces;63.0;87.0;10,14;22.99;Colombia;cleveland, tennessee
In Bloom;94.0;Jersey City, New Jersey;"Colombia; Ethiopia";Light;$25.00/250 grams;64.0;88.0;10;0.8818342151675485;Ethiopia;jersey city, new jersey
Ethiopia Washed Kaffa Gimbo Lot Rich Espresso;96.0;Chia-Yi, Taiwan;Gimbo, Kaffa Province, Ethiopia;Medium Light;NT $250/8 ounces;55.0;77.0;110,23;250.0;Ethiopia;chia-yi, taiwan
Ethiopia Natural Gute Bona;95.0;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Medium Light;NT $400/8 ounces;62.0;78.0;176,37;400.0;Ethiopia;chia-yi, taiwan
White Geisha Blend Espresso;95.0;Taichung, Taiwan;"Panama; Ethiopia";Medium Light;$39.00/8 ounces;60.0;78.0;17,2;39.0;Ethiopia;taichung, taiwan
Yunlin Natural Geisha CPAG-1;95.0;Yunlin, Taiwan;Yunlin, Taiwan;Medium Light;NT $800/4 ounces;60.0;78.0;705,47;800.0;Taiwan;yunlin, taiwan
Colombia Natural Huila Eulises Guzman;94.0;Chia-Yi, Taiwan;Huila Department, Colombia;Medium Light;NT $350/8 ounces;60.0;80.0;154,32;350.0;Colombia;chia-yi, taiwan
Peru Washed Cusco Buena Vista Soola SL09;94.0;Chia-Yi, Taiwan;Cusco, Peru;Medium Light;NT $300/4 ounces;58.0;77.0;264,55;300.0;Peru;chia-yi, taiwan
Yunlin Natural Geisha;94.0;Yunlin, Taiwan;Yunlin, Taiwan;Light;NT $600/4 ounces;60.0;84.0;529,1;600.0;Taiwan;yunlin, taiwan
Hechi;94.0;Taipei, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $330/8 ounces;60.0;86.0;145,5;330.0;Ethiopia;taipei, taiwan
Las Margaritas Sudan Rume;95.0;Madison, Wisconsin;Caicendonia, Valle Del Cauca, Cauca Department, Colombia;Light;$27.00/8 ounces;60.0;84.0;11,9;27.0;Colombia;madison, wisconsin
Wilton Benitez Geisha;95.0;Madison, Wisconsin;Piendamo, Cauca Department, Colombia;Light;$26.00/8 ounces;62.0;84.0;11,46;26.0;Colombia;madison, wisconsin
Itumpi Tanzania;94.0;Madison, Wisconsin;Mbozi District, Songwe Region, Tanzania;Medium Light;$22.00/12 ounces;59.0;81.0;6,47;22.0;Tanzania;madison, wisconsin
Ethiopia Yirgacheffe G1 Gotiti Angel Station Geisha Washed;94.0;Yilan, Taiwan;Gedeb District, Gedeo Zone, southern Ethiopia;Light;NT $550/200 grams;62.0;82.0;275;19.400352733686066;Ethiopia;yilan, taiwan
Ethiopia Guji Hambela Buku Abel Bastet Geisha Washed;94.0;Yilan, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Light;NT $550/200 grams;63.0;85.0;275;19.400352733686066;Ethiopia;yilan, taiwan
Finca Cruz Loma Ecuador Geisha;96.0;Madison, Wisconsin;San José de Minas, Pichincha Province, Ecuador;Medium Light;$32.00/8 ounces;60.0;77.0;14,11;32.0;Ecuador;madison, wisconsin
Costa Rica Finca El Cañal;95.0;Charlotte, North Carolina;Alajuela, Central Valley, Costa Rica;Light;$30.00/12 ounces;60.0;88.0;8,82;30.0;Rica;charlotte, north carolina
Hambela Dabaye Ethiopia;95.0;Madison, Wisconsin;Guji growing region, south-central Ethiopia;Light;$24.00/8 ounces;65.0;87.0;10,58;24.0;Ethiopia;madison, wisconsin
Brazil Vinhal Grape Starfruit;94.0;Peoria, Illinois;Cerrado Mineiro, Minas Gerais, Brazil;Medium Light;$21.00/12 ounces;59.0;77.0;6,17;21.0;Brazil;peoria, illinois
Duwancho Natural Ethiopia;94.0;Madison, Wisconsin;Sidamo growing region, southern Ethiopia;Light;$28.00/12 ounces;61.0;82.0;8,23;28.0;Ethiopia;madison, wisconsin
Colombia Finca Santa Barbara Gesha Anaerobic Honey;95.0;Floyd, Virginia;Algeciras, Huila Department, Colombia;Light;$32.00/12 ounces;63.0;87.0;9,41;32.0;Colombia;floyd, virginia
Colombia Faver Emir Ninco Pink Bourbon;94.0;Taipei, Taiwan;Santa Maria, Huila Department, Colombia;Light;NT $559/8 ounces;61.0;81.0;246,47;559.0;Colombia;taipei, taiwan
Ethiopia Yirgacheffe Earl Grey Peach;94.0;Taipei, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;NT $329/8 ounces;65.0;87.0;145,06;329.0;Ethiopia;taipei, taiwan
Colombia Cauca Lusitania Geisha Washed;94.0;Taipei, Taiwan;Caicedonia, Cauca Department, Colombia;Light;NT $470/100 grams;66.0;88.0;470;16.57848324514991;Colombia;taipei, taiwan
Kenya Kirinyaga Karamundi Washed AB;95.0;Taichung, Taiwan;Kirinyaga District, south-central Kenya;Light;NT $480/8 ounces;66.0;86.0;211,64;480.0;Kenya;taichung, taiwan
Kaʻū Morning Glory;97.0;Hilo, Hawai’i Island, Hawai’i;Kaʻū growing region, Hawai’i Island, Hawai’i;Light;$19.00/4 ounces;62.0;84.0;16,75;19.0;;hilo, hawai’i island, hawai’i
Kaʻū Yellow Bourbon;95.0;Hilo, Hawai’i Island, Hawai’i;Kaʻū growing region, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;60.0;80.0;15,52;44.0;;hilo, hawai’i island, hawai’i
Colombia San Adolfo Huila;95.0;San Diego, California;Huila Department, Colombia;Light;$40.00/8 ounces;65.0;87.0;17,64;40.0;Colombia;san diego, california
Rwanda Kungahara Carbonic Maceration;95.0;Floyd, Virginia;Rustiro, Rwanda;Light;$28.00/12 ounces;64.0;86.0;8,23;28.0;Rwanda;floyd, virginia
Ecuador La Papaya Pacamara;95.0;Fort Wayne, Indiana;Saraguro, Loja, Ecuador;Light;$29.00/8 ounces;64.0;86.0;12,79;29.0;Ecuador;fort wayne, indiana
Peru Churupampa Pacamara;94.0;Fort Wayne, Indiana;Jaén, Cajamarca, Peru;Medium Light;$22.00/12 ounces;59.0;80.0;6,47;22.0;Peru;fort wayne, indiana
Ethiopia Ayla Sidamo;95.0;Fort Wayne, Indiana;Sidamo growing region, southern Ethiopia;Light;$20.00/ 12 ounces;62.0;84.0;5,88;20.0;Ethiopia;fort wayne, indiana
Ethiopia Mullugeta Muntasha;94.0;Fort Wayne, Indiana;Bursa Village, Arbegona, Sidama growing region, southern Ethiopia;Medium Light;$23.00/12 ounces;61.0;79.0;6,76;23.0;Ethiopia;fort wayne, indiana
Ka’u Giant Maragogipe;94.0;Hilo, Hawai'i;Ka’u growing region, Hawai’i Island, Hawai’i;Medium Light;$42.00/10 ounces;52.0;73.0;14,81;42.0;;hilo, hawai'i
Ka’u Red Bourbon;95.0;Hilo, Hawai'i;Ka’u growing region, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;60.0;78.0;15,52;44.0;;hilo, hawai'i
Kona Bloom;94.0;Hilo, Hawai'i;Kona District, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;57.0;78.0;15,52;44.0;;hilo, hawai'i
Guatemala Retiro del Quisaya Washed Process;94.0;Durango, Colorado;San Martin Jilotepeque, Chimaltenango Department, Guatemala;Medium Light;$19.95/12 ounces;57.0;79.0;5,86;19.95;Guatemala;durango, colorado
Ethiopian Single Origin;94.0;Norfolk, Virginia;Ethiopia;Medium Light;$16.99/12 ounces;52.0;74.0;4,99;16.99;Ethiopia;norfolk, virginia
Colombia Finca Al Paraiso Y–05 Lychee;95.0;Glendale, California;Piendamó, Cauca Department, Colombia;Medium;$30.50/12 ounces;52.0;64.0;8,97;45807,00;Colombia;glendale, california
Colombia Las Perlitas Anaerobic Honey;94.0;Santa Fe, New Mexico;Medellin, Colombia;Medium Light;$25.00/227 grams;59.0;81.0;11,01;0.8818342151675485;Colombia;santa fe, new mexico
Panama Altieri Luci Geisha Natural Cold Dry Ferment;94.0;Los Angeles, California;Boquete growing region, western Panama;Medium Light;$59.95/170 grams;58.0;81.0;35,26;2.1146384479717812;Panama;los angeles, california
Costa Rica La Minita;94.0;Tulsa, Oklahoma;Los Santos, Tarrazú, Costa Rica;Medium Light;$22.00/12 ounces;56.0;82.0;6,47;22.0;Rica;tulsa, oklahoma
Ethiopia Guji Grape GildVine Natural G1;94.0;Tainan, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Light;NT $500/227 grams;67.0;88.0;220,26;17.636684303350968;Ethiopia;tainan, taiwan
Kenya Baragwi Guama AA Washed;95.0;Baronett, Wisconsin;Guama Village, Kirinyaga County, Kenya;Light;$21.00/12 ounces;61.0;83.0;6,17;21.0;Kenya;baronett, wisconsin
Potosi Pink Bourbon Natural Colombia;96.0;Madison, Wisconsin;Trujillo, Valle Del Cauca, Cauca Department, Colombia;Light;$29.00/8 ounces;64.0;86.0;12,79;29.0;Colombia;madison, wisconsin
Wilton Benitez Sudan Rume Colombia;95.0;Madison, Wisconsin;Piendamó, Cauca Department, Colombia;Light;$25.00/8 ounces;62.0;82.0;11,02;25.0;Colombia;madison, wisconsin
Kangocho Kenya;95.0;Madison, Wisconsin;Nyeri County, Kenya;Medium Light;$25.00/12 ounces;59.0;81.0;7,35;25.0;Kenya;madison, wisconsin
La Esperanza Mandela;95.0;Madison, Wisconsin;Trujillo, Valle Del Cauca, Cauca Department, Colombia;Light;$27.00/8 ounces;62.0;80.0;11,9;27.0;Colombia;madison, wisconsin
Mexico Alva Flores;94.0;Fort Wayne, Indiana;Santa Cruz, Ozolotepec, Oaxaca, Mexico;Medium Light;$18.00/12 ounces;54.0;72.0;5,29;18.0;Mexico;fort wayne, indiana
Ethiopia Natural Sidama Blue Donkey Lot 2;96.0;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $350/8 ounces;62.0;84.0;154,32;350.0;Ethiopia;chia-yi, taiwan
Trust the Process Costa Rica Finca Carrizal SL28 Black Diamond Natural;95.0;Floyd, Virginia;Sabanilla de Alajuela growing region, Costa Rica;Light;$24.00/8 ounces;62.0;84.0;10,58;24.0;Rica;floyd, virginia
Guatemala Washed Finca El General Gesha;94.0;Chia-Yi, Taiwan;Acatenango, Chimaltenango, Guatemala;Medium Light;NT $420/4 ounces;58.0;77.0;370,37;420.0;Guatemala;chia-yi, taiwan
Guatemala Finca El General Bourbon Honey Espresso;94.0;Chia-Yi, Taiwan;Acatenango, Chimaltenango, Guatemala;Medium Light;NT $420/4 ounces;56.0;76.0;370,37;420.0;Guatemala;chia-yi, taiwan
True Love Espresso Blend;94.0;Chia-Yi, Taiwan;"Ethiopia; Guatemala";Medium Light;NT $260/8 ounces;57.0;77.0;114,64;260.0;Guatemala;chia-yi, taiwan
Colombia Sebastian Ramirez Washed Pink Bourbon;97.0;McHenry, Illinois;Quindio Department, Colombia;Light;$30.00/12 ounces;62.0;84.0;8,82;30.0;Colombia;mchenry, illinois
Colombia Manos Juntas Anaerobic Natural;94.0;Peoria, Illinois;Cauca Department, Colombia;Light;$18.00/12 ounces;63.0;85.0;5,29;18.0;Colombia;peoria, illinois
Ecuador La Papaya Geisha Natural;96.0;Fort Wayne, Indiana;Saraguro, Loja, Ecuador;Medium Light;$38.00/8 ounces;61.0;79.0;16,75;38.0;Ecuador;fort wayne, indiana
Yemen Al Obrah;95.0;Fort Wayne, Indiana;Al Obrah, Hayma Dakhaliya, Sana'a, Yemen;Light;$42.00/8 ounces;62.0;86.0;18,52;42.0;Yemen;fort wayne, indiana
Kenya Embu;95.0;Taichung, Taiwan;Embu County, Kenya;Light;NT $1200/227 grams;62.0;80.0;528,63;42.32804232804233;Kenya;taichung, taiwan
Yemen Ismaili;94.0;Taichung, Taiwan;Bani Ismail District, Sana'a, Yemen;Medium Light;NT $1200/227 grams;57.0;81.0;528,63;42.32804232804233;Yemen;taichung, taiwan
Guatemala Acatenango Geisha;94.0;Tiachung, Taiwan;Acatenango growing region, Guatemala;Medium Light;NT $1200/227 grams;59.0;79.0;528,63;42.32804232804233;Guatemala;tiachung, taiwan
Ethiopia Bench-Maji Lucy Geisha Anaerobic Natural;94.0;Kaohsiung, Taiwan;Bench-Maji Zone, southern Ethiopia;Light;NT $300/100 grams;64.0;88.0;300;10.582010582010582;Ethiopia;kaohsiung, taiwan
Wilton Benitez Colombia Yellow Bourbon;96.0;Madison, Wisconsin;Piendamó, Cauca, Colombia;Light;$22.00/8 ounces;63.0;88.0;9,7;22.0;Colombia;madison, wisconsin
Kona Tropical Punch Washed;95.0;Hilo, Hawai’i Island, Hawai’i;Kona growing region, Hawai’i Island, Hawai'i;Light;$50.00/4 ounces;68.0;84.0;44,09;50.0;;hilo, hawai’i island, hawai’i
Granate;94.0;Satipo Province, Peru;Llayla District, Satipo Province, Peru;Medium Light;$13.50/250 grams;57.0;79.0;5,4;0.47619047619047616;Peru;satipo province, peru
Kenya Kirinyaga;95.0;Floyd, Virginia;Kirinyaga District, south-central Kenya;Light;$25.00/12 ounces;60.0;82.0;7,35;25.0;Kenya;floyd, virginia
Costa Rica San Diego;94.0;Fort Wayne, Indiana;Tarrazu, Costa Rica;Medium Light;$22.00/12 ounces;57.0;77.0;6,47;22.0;Rica;fort wayne, indiana
Costa Rica La Candelilla Geisha;94.0;Floyd, Virginia;Tarrazu, Costa Rica;Light;$35.00/12 ounces;62.0;84.0;10,29;35.0;Rica;floyd, virginia
Ethiopia Agaro Duromina;94.0;San Diego, California;Agaro Duromina, Jimma Zone, Oromia State, Ethiopia;Medium Light;$22.00/12 ounces;59.0;79.0;6,47;22.0;Ethiopia;san diego, california
Panama Renaissance Series Flora Geisha Washed;94.0;Taipei, Taiwan;Boquete growing region, western Panama;Light;NT $800/227 grams;68.0;94.0;352,42;28.21869488536155;Panama;taipei, taiwan
Colombia San Martin Bourbon Aji Star Fruit Peach Honey;95.0;Yilan, Taiwan;Huila Department, Colombia;Light;NT $650/200 grams;64.0;88.0;325;22.92768959435626;Colombia;yilan, taiwan
Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural;94.0;Yilan, Taiwan;Alishan, Taiwan;Light;NT $2,700/100 grams;62.0;80.0;2;;Taiwan;yilan, taiwan
Las Margaritas Colombia Sudan Rume Natural;95.0;Madison, Wisconsin;Caicendonia, Valle Del Cauca, Cauca Department, Colombia;Light;$25.00/8 ounces;62.0;86.0;11,02;25.0;Colombia;madison, wisconsin
Yabitu Koba Ethiopia;95.0;Madison, Wisconsin;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$23.00/12 ounces;58.0;78.0;6,76;23.0;Ethiopia;madison, wisconsin
Pantan Musara Sumatra;94.0;Madison, Wisconsin;Aceh Province, Sumatra, Indonesia;Medium Light;$23.00/12 ounces;57.0;80.0;6,76;23.0;Indonesia;madison, wisconsin
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1;94.0;Taipei, Taiwan;Yirgacheffe growing region, south-central Ethiopia;Light;NT $339/8 ounces;65.0;93.0;149,47;339.0;Ethiopia;taipei, taiwan
Guatemala El Soccoro Maracaturra Washed;94.0;Baronett, Wisconsin;Palencia, Guatemala Department, Guatemala;Medium Light;$20.00/12 ounces;60.0;78.0;5,88;20.0;Guatemala;baronett, wisconsin
Ethiopia Sidama Bensa Alo Single Variety 74158 Natural;94.0;New Taipei City, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $840/113 grams;66.0;88.0;743,36;29.62962962962963;Ethiopia;new taipei city, taiwan
El Salvador Loma La Gloria Unicorn Natural;95.0;Reno, Nevada;El Bálsamo, Quetzaltepec growing region, El Salvador;Light;$29.00/10 ounces;64.0;88.0;10,23;29.0;Salvador;reno, nevada
Costa Rica Las Lajas SL-28 Natural;94.0;Durango, Colorado;Sabanilla de Alajuela growing region, Costa Rica;Light;$30.00/12 ounces;58.0;84.0;8,82;30.0;Rica;durango, colorado
Ethiopia Faysel Abdosh;94.0;Fort Wayne, Indiana;Chericho, Sidamo growing region, Ethiopia;Light;$20.00/12 ounces;64.0;88.0;5,88;20.0;Ethiopia;fort wayne, indiana
Kenya Kii;94.0;San Diego, California;Kirinyaga County, Kenya;Medium Light;$26.00/250 grams;58.0;82.0;10,4;0.9171075837742504;Kenya;san diego, california
Ethiopia Guji Bishala G1 Red Honey;94.0;Taichung, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Medium Light;NT $460/8 ounces;58.0;80.0;202,82;460.0;Ethiopia;taichung, taiwan
Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1;94.0;Taichung, Taiwan;Bensa district, Sidama Zone, southern Ethiopia;Light;NT $720/8 ounces;66.0;89.0;317,46;720.0;Ethiopia;taichung, taiwan
Kenya Nyeri Hill AB;96.0;Lexington, Virginia;Nyeri growing region, south-central Kenya;Medium Light;$23.50/12 ounces;58.0;82.0;6,91;45800,00;Kenya;lexington, virginia
Ethiopia Sidama  Bombe Natural;94.0;Taitung, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $350/200 grams;61.0;85.0;175;12.345679012345679;Ethiopia;taitung, taiwan
Ethiopia Kayon Mountain;95.0;Lexington, Virginia;Odo Shakiso District, Guji Zone, southern Ethiopia;Light;$24.00/12 ounces;64.0;88.0;7,05;24.0;Ethiopia;lexington, virginia
Colombia Red Sunset;94.0;Lexington, Virginia;Santa Barbara, Antioquia Department, Colombia;Light;$27.00/12 ounces;60.0;84.0;7,94;27.0;Colombia;lexington, virginia
Ethiopia Gesha Village Lot 108;94.0;Jersey City, New Jersey;Bench-Maji Zone, southern Ethiopia;Light;$30.00/50 grams;66.0;89.0;60;1.0582010582010581;Ethiopia;jersey city, new jersey
Panama Geisha Vuelta DRD Natural Lot GN-01;97.0;Hilo, Hawai’i Island, Hawai’i;Boquete growing region, western Panama;Light;$400.00/20 grams;64.0;88.0;2000;14.109347442680775;Panama;hilo, hawai’i island, hawai’i
Panama Kaizen Lot GW-01;96.0;Hilo, Hawai’i Island, Hawai’i;Boquete growing region, western Panama;Light;$400.00/20 grams;65.0;90.0;2000;14.109347442680775;Panama;hilo, hawai’i island, hawai’i
Kona Geisha Champagne Natural;95.0;Hilo, Hawai’i Island, Hawai’i;Hōlualoa, North Kona growing region, Hawai’i Island, Hawai’i;Light;$200.00/4 ounces;64.0;88.0;176,37;200.0;;hilo, hawai’i island, hawai’i
Ethiopia Nano Genji Lot #8;94.0;Manlius, New York;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Light;$22.00/12 ounces;64.0;84.0;6,47;22.0;Ethiopia;manlius, new york
Colombia Hacienda La Pradera Mokka;94.0;Manlius, New York;Santander Department, Colombia;Light;$42.00/12 ounces;64.0;88.0;12,35;42.0;Colombia;manlius, new york
La Piragua Pink Bourbon Colombia;94.0;Madison, Wisconsin;Palestina, Huila Department, Colombia;Light;$22.00/12 ounces;62.0;84.0;6,47;22.0;Colombia;madison, wisconsin
Kenya Baragwi Guama;94.0;Fort Wayne, Indiana;Guama Village, Kirinyaga County, Kenya;Medium Light;$22.00/12 ounces;60.0;78.0;6,47;22.0;Kenya;fort wayne, indiana
Ethiopia Washed Uraga More Floral Kurume Espresso;95.0;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $270/8 ounces;58.0;79.0;119,05;270.0;Ethiopia;chia-yi, taiwan
Ethiopia Natural Sidama ALO Village FL;95.0;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $480/4 ounces;62.0;84.0;423,28;480.0;Ethiopia;chia-yi, taiwan
Ethiopia Washed Sidama Bura Karamo 74158;95.0;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $320/8 ounces;64.0;84.0;141,09;320.0;Ethiopia;chia-yi, taiwan
Ethiopia Natural Guji Hambella Wamena Buku G1;94.0;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $320/8 ounces;64.0;88.0;141,09;320.0;Ethiopia;chia-yi, taiwan
Guatemala Naranjas Nadando;95.0;Topeka, Kansas;Huehuetenango, Guatemala;Light;$22.00/10 ounces;62.0;84.0;7,76;22.0;Guatemala;topeka, kansas
Songstress Geisha;95.0;Taipei, Taiwan;Bench-Maji Zone, southern Ethiopia;Light;NT $370/8 ounces;64.0;86.0;163,14;370.0;Ethiopia;taipei, taiwan
Ethiopia Gesha Village Surma 1931 Mossto Anaerobic Honey;95.0;Baronett, Wisconsin;Bench-Maji Zone, southern Ethiopia;Light;$40.00/6 ounces;62.0;84.0;23,52;40.0;Ethiopia;baronett, wisconsin
Panama Bambito Estate Geisha;95.0;San Diego, California;Volcan Baru, Boquete growing region, Panama;Light;$38.75/4 ounces;64.0;88.0;34,17;38.75;Panama;san diego, california
Colombia Efren Echeverry;94.0;Fort Wayne, Indiana;Pitalito, Huila Department, Colombia;Light;$25.00/12 ounces;62.0;84.0;7,35;25.0;Colombia;fort wayne, indiana
Pueo Blend;94.0;Hilo, Hawai'i;Guatemala and other undisclosed origins;Medium Light;$20.00/10 ounces;50.0;77.0;7,05;20.0;;hilo, hawai'i
Wai Meli Morning;94.0;Mountain View, Hawai'i;"Kona and Ka’u, Hawai’i; other undisclosed origins";Medium Light;$30.00/10 ounces;54.0;72.0;10,58;30.0;;mountain view, hawai'i
Ayla Bombe Natural;94.0;Madison, Wisconsin;Sidamo growing region, southern Ethiopia;Light;$22.00/12 ounces;63.0;87.0;6,47;22.0;Ethiopia;madison, wisconsin
Wilton Benitez Striped Bourbon Colombia;94.0;Madison, Wisconsin;Piendamó, Cauca, Colombia;Light;$25.00/8 ounces;62.0;84.0;11,02;25.0;Colombia;madison, wisconsin
Buena Vista Pink Bourbon Colombia;94.0;Madison, Wisconsin;La Muralla, Huila Department, Colombia;Medium Light;$22.00/8 ounces;59.0;77.0;9,7;22.0;Colombia;madison, wisconsin
Yunlin Washed Geisha;96.0;Yunlin, Taiwan;Yunlin County, Taiwan;Light;NT $800/120 grams;64.0;90.0;666,67;28.21869488536155;Taiwan;yunlin, taiwan
Ethiopia Banko Washed;96.0;Floyd, Virginia;Gedeb District, Gedeo Zone, southern Ethiopia;Light;$24.00/12 ounces;62.0;84.0;7,05;24.0;Ethiopia;floyd, virginia
Colombia Villa Betulia CM Sidra;96.0;Denver, Colorado;Acevedo, Huila Department, Colombia;Light;$46.00/8 ounces;60.0;84.0;20,28;46.0;Colombia;denver, colorado
Ethiopia Anaerobic Worka Sakaro;95.0;Floyd, Virginia;Gedeb District, Gedeo Zone, southern Ethiopia;Light;$24.00/12 ounces;66.0;92.0;7,05;24.0;Ethiopia;floyd, virginia
Costa Rica Hacienda Sonora Natural Milenio;94.0;Denver, Colorado;Alajuela, Central Valley, Costa Rica;Light;$19.00/8 ounces;62.0;84.0;8,38;19.0;Rica;denver, colorado
Costa Rica Alma Negra Natural;94.0;Floyd, Virginia;Alajuela, Central Valley, Costa Rica;Light;$25.00/12 ounces;58.0;88.0;7,35;25.0;Rica;floyd, virginia
El Salvador Finca Santa Sofia Natural Kenya;94.0;Denver, Colorado;Santa Ana, El Salvador;Light;$22.00/8 ounces;68.0;94.0;9,7;22.0;Salvador;denver, colorado
Colombia Aponte Honey;94.0;Floyd, Virginia;Aponte, Nariño Department, Colombia;Light;$23.00/12 ounces;64.0;88.0;6,76;23.0;Colombia;floyd, virginia
Finca Huixoc Geisha;94.0;Antigua Guatemala, Guatemala;La Democracia, Huehuetenango Department, Guatemala;Light;$24.00/12 ounces;60.0;82.0;7,05;24.0;Guatemala;antigua guatemala, guatemala
Costa Rica Rivense Finca El Mango Honey Process;94.0;Thermopolis, Wyoming;Chirripo, Brunca growing region, Costa Rica;Light;$16.00/12 ounces;62.0;84.0;4,7;16.0;Rica;thermopolis, wyoming
El Salvador Unicorn;94.0;Truckee, California;El Bálsamo Quetzaltepec, El Salvador;Medium Light;$24.00/8 ounces;58.0;80.0;10,58;24.0;Salvador;truckee, california
Kenya Kiamwangi Factory AA TOP;94.0;Taipei, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $389/8 ounces;60.0;80.0;171,52;389.0;Kenya;taipei, taiwan
Ethiopia Sidama Bensa Hamasho Washed TOH#2;94.0;Taipei, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $349/8 ounces;64.0;86.0;153,88;349.0;Ethiopia;taipei, taiwan
Costa Rica Red Java Honey Finca Los Pinitos;95.0;Charlotte, North Carolina;Alajuela, Central Valley, Costa Rica;Light;$29.00//12 ounces;60.0;88.0;8,52;;Rica;charlotte, north carolina
Costa Rica Finca El Cañal Double Diamond;94.0;Charlotte, North Carolina;Alajuela, Central Valley, Costa Rica;Light;$28.00/12 ounces;62.0;86.0;8,23;28.0;Rica;charlotte, north carolina
Honduras Roger Dominguez;94.0;Fort Wayne, Indiana;La Paz, Marcala growing region, Honduras;Light;$20.00/8 ounces;66.0;88.0;8,82;20.0;Honduras;fort wayne, indiana
Ngurueri Kenya;94.0;Madison, Wisconsin;Embu County, Kenya;Light;$22.00/12 ounces;62.0;80.0;6,47;22.0;Kenya;madison, wisconsin
Cruz Loma Ecuador;94.0;Madison, Wisconsin;San José de Minas, Pichincha Province, Ecuador;Light;$22.00/8 ounces;60.0;82.0;9,7;22.0;Ecuador;madison, wisconsin
Colombia Monteblanco Nectar Citrullus Secret Stash;94.0;Sacramento, Calfornia;Peñas Blancas Mountains, Acevedo, Colombia;Medium Light;$20.00/8 ounces;58.0;82.0;8,82;20.0;Colombia;sacramento, calfornia
Costa Rica La Laguna Lot Secret Stash;94.0;Sacramento, California;Tarrazu, Costa Rica;Light;$20.00/8 ounces;64.0;86.0;8,82;20.0;Rica;sacramento, california
Ballista Espresso;94.0;Lee, Massachusetts;Ethiopia, Brazil;Medium Light;$18.45/12 ounces;56.0;74.0;5,42;18.45;Brazil;lee, massachusetts
Ethiopia Natural Lion 88;94.0;Taipei, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Light;NT $500/8 ounces;66.0;90.0;220,46;500.0;Ethiopia;taipei, taiwan
Panama Lamastus Family Elida Estate Loma Geisha Washed;97.0;New Taipei City, Taiwan;Boquete growing region, western Panama;Light;NT $1,695/4 ounces;64.0;88.0;0,88;;Panama;new taipei city, taiwan
Colombia El Paraiso Geisha Anti-Maceration;95.0;Osaka, Japan;Piendamo, Cauca Department, Colombia;Light;$29.00/50 grams;70.0;94.0;58;1.0229276895943562;Colombia;osaka, japan
Ethiopia Alo Chilaka Natural;94.0;Viroqua, Wisconsin;Sidamo growing region, southern Ethiopia;Light;$22.00/12 ounces;66.0;88.0;6,47;22.0;Ethiopia;viroqua, wisconsin
Panama Bambito Gesha;94.0;Olympia, Washington;Bambito Mountains, Chiriqui, Panama;Light;$55.00/8 ounces;62.0;84.0;24,25;55.0;Panama;olympia, washington
Panama Geisha Vuelta DRD Natural;97.0;Hilo, Hawai’i;Boquete growing region, western Panama;Light;$88.00/4 ounces;66.0;88.0;77,6;88.0;Panama;hilo, hawai’i
Kona S12 Kaffa Washed;96.0;Hilo, Hawai’i;Hōlualoa, North Kona, Hawai’i Island;Light;$100.00/4 ounces;67.0;94.0;88,18;100.0;Island;hilo, hawai’i
Kona Geisha Rosé Washed;96.0;Hilo, Hawai’i;Hōlualoa, North Kona, Hawai’i Island;Light;$100.00/4 ounces;64.0;88.0;88,18;100.0;Island;hilo, hawai’i
